ModelName,Feature,Importance,SHAP
xgb0,BaseColor_Tan,0.003116003004834056,0.008341637440025806
xgb0,BaseColor_Torbie,0.003016503294929862,0.004336404148489237
xgb0,BaseColor_Tortie,0.0033060614950954914,0.005767222959548235
xgb0,BaseColor_Tricolor,0.005088672507554293,0.028355849906802177
xgb0,BaseColor_White,0.004762246739119291,0.01694217510521412
xgb0,BaseColor_Yellow,0.003876729868352413,0.005838954355567694
xgb0,NS_intake_1,0.009028363972902298,0.12655815482139587
xgb0,NS_clinic_1,0.3102366626262665,0.6494788527488708
xgb0,City_Manor,0.004149366170167923,0.006391844712197781
xgb0,City_Other City,0.007207277696579695,0.004010621923953295
xgb0,City_Pflugerville,0.0053866710513830185,0.005116744432598352
xgb0,City_Travis,0.004586995113641024,0.036870937794446945
xgb0,City_Valle,0.004760153125971556,0.006376630626618862
xgb0,Gender_Male,0.0031104981899261475,0.036735180765390396
xgb0,Gender_Unknown,0.019441353157162666,0.23395076394081116
xgb0,FirstLetterName_B,0.003329903120175004,0.007370247971266508
xgb0,FirstLetterName_C,0.004874653648585081,0.011665934696793556
xgb0,FirstLetterName_D,0.003942032344639301,0.004943080246448517
xgb0,FirstLetterName_E,0.004253719002008438,0.0028754291124641895
xgb0,FirstLetterName_F,0.004793480504304171,0.00400506192818284
xgb0,FirstLetterName_G,0.005027926992624998,0.006026638206094503
xgb0,FirstLetterName_H,0.006298809312283993,0.002162507502362132
xgb0,FirstLetterName_I,0.0033371520694345236,0.004991050809621811
xgb0,FirstLetterName_ID,0.003552759764716029,0.005536517594009638
xgb0,FirstLetterName_J,0.005184723995625973,0.005422060843557119
xgb0,FirstLetterName_K,0.004234128165990114,0.0025254306383430958
xgb0,FirstLetterName_L,0.004550120793282986,0.008223840966820717
xgb0,FirstLetterName_M,0.004017493687570095,0.009279831312596798
xgb0,FirstLetterName_N,0.006455964874476194,0.0035992844495922327
xgb0,FirstLetterName_O,0.003895333968102932,0.00442890077829361
xgb0,FirstLetterName_P,0.005230125971138477,0.010962463915348053
xgb0,FirstLetterName_Q,0.0013336259871721268,0.001406915602274239
xgb0,FirstLetterName_R,0.0033465425949543715,0.005838668439537287
xgb0,FirstLetterName_S,0.003989750519394875,0.011397890746593475
